Ticket Type,tickets,avg_resolution_hours,sla_breach_rate
Data Sync Issue,19877,121.02139306736429,0.5023393872314735
Payment Problem,19997,120.93946441966295,0.49972495874381156
Performance Issue,20074,120.72800587825049,0.5075719836604563
Login Issue,20002,120.66121637836216,0.5005999400059994
Feature Request,20169,120.61061034260499,0.497347414348753
Subscription Cancellation,20096,120.54307772691082,0.49462579617834396
Account Suspension,19864,120.41498338703181,0.4990938380990737
Security Concern,20040,120.36253293413175,0.49905189620758483
Bug Report,19981,120.31888594164457,0.5025774485761474
Refund Request,19900,119.79427487437185,0.4992462311557789
